n,k,block_size,flip_rate,covering_number,counting_lower_bound,schoenheim_lower_bound,mip_gap,mip_dual_bound,mip_node_count,samples_per_query,total_samples,fwer_upper,power_lower,pure_observation_queries,pure_observation_samples,sample_ratio,beats_pure_observation,random_complete_rate
15,4,14,1/20,5,2,5,0.0,4.999999999999981,4,15,75,605/16384,63163581160310179/65536000000000000,1365,38220,0.0019623233908948193,1,1
15,4,15,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,1365,38220,0.00023547880690737833,1,1
15,4,13,3/20,5,2,5,0.0,4.999999999999376,6,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,1365,70980,0.0018315018315018315,1,3/128
15,4,14,3/20,5,2,5,0.0,4.999999999999981,4,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,1365,70980,0.0018315018315018315,1,1
15,4,15,3/20,1,1,1,0.0,1.0,0,17,17,1607/32768,59066943224413682347/65536000000000000000,1365,70980,0.00023950408565793181,1,1
15,4,13,1/4,5,2,5,0.0,4.999999999999376,6,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,1365,150150,0.001898101898101898,1,3/128
15,4,14,1/4,5,2,5,0.0,4.999999999999981,4,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,1365,150150,0.001898101898101898,1,1
15,4,15,1/4,1,1,1,0.0,1.0,0,42,42,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1365,150150,0.0002797202797202797,1,1
17,3,14,1/20,4,2,4,0.0,4.0,1,15,60,121/4096,63163581160310179/65536000000000000,680,18360,0.0032679738562091504,1,0
17,3,15,1/20,4,2,4,0.0,3.9999999999996674,2,15,60,121/4096,63163581160310179/65536000000000000,680,18360,0.0032679738562091504,1,21/128
17,3,16,1/20,4,2,4,0.0,4.0,4,15,60,121/4096,63163581160310179/65536000000000000,680,18360,0.0032679738562091504,1,1
17,3,17,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,680,18360,0.0004901960784313725,1,1
17,3,14,3/20,4,2,4,0.0,4.0,1,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,680,32640,0.0031862745098039215,1,0
17,3,15,3/20,4,2,4,0.0,3.9999999999996674,2,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,680,32640,0.0031862745098039215,1,21/128
17,3,16,3/20,4,2,4,0.0,4.0,4,26,104,39239/1048576,30758455654473755810753331978179/33554432000000000000000000000000,680,32640,0.0031862745098039215,1,1
17,3,17,3/20,1,1,1,0.0,1.0,0,17,17,1607/32768,59066943224413682347/65536000000000000000,680,32640,0.0005208333333333333,1,1
17,3,14,1/4,4,2,4,0.0,4.0,1,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,680,70040,0.0031981724728726442,1,0
17,3,15,1/4,4,2,4,0.0,3.9999999999996674,2,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,680,70040,0.0031981724728726442,1,21/128
17,3,16,1/4,4,2,4,0.0,4.0,4,56,224,376674527189599/9007199254740992,2374400782722103815991434880831775/2596148429267413814265248164610048,680,70040,0.0031981724728726442,1,1
17,3,17,1/4,1,1,1,0.0,1.0,0,42,42,1496659417/34359738368,555786283484642355386633/604462909807314587353088,680,70040,0.0005996573386636208,1,1
17,4,15,1/20,5,2,5,0.0,4.999999999999621,8,15,75,605/16384,63163581160310179/65536000000000000,2380,69020,0.0010866415531729933,1,9/256
17,4,16,1/20,5,2,5,0.0,4.9999999999999885,4,15,75,605/16384,63163581160310179/65536000000000000,2380,69020,0.0010866415531729933,1,1
17,4,17,1/20,1,1,1,0.0,1.0,0,9,9,5/128,11888494133/12800000000,2380,69020,0.0001303969863807592,1,1
17,4,15,3/20,5,2,5,0.0,4.999999999999621,8,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,2380,133280,0.0009753901560624249,1,9/256
17,4,16,3/20,5,2,5,0.0,4.9999999999999885,4,26,130,196195/4194304,30758455654473755810753331978179/33554432000000000000000000000000,2380,133280,0.0009753901560624249,1,1
17,4,17,3/20,1,1,1,0.0,1.0,0,17,17,1607/32768,59066943224413682347/65536000000000000000,2380,133280,0.00012755102040816328,1,1
17,4,15,1/4,5,2,5,0.0,4.999999999999621,8,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,2380,271320,0.0010504201680672268,1,9/256
17,4,16,1/4,5,2,5,0.0,4.9999999999999885,4,57,285,1352552661513245/36028797018963968,2338547828979240446609287179458225/2596148429267413814265248164610048,2380,271320,0.0010504201680672268,1,1
17,4,17,1/4,1,1,1,0.0,1.0,0,42,42,1496659417/34359738368,555786283484642355386633/604462909807314587353088,2380,271320,0.00015479876160990713,1,1
