degree,observation_order,intervention_budget,detector_advantage,query_upper_bound,threshold_predicted
6,3,3,1,2534,1
6,3,4,1,3494,1
6,3,5,1,3878,1
6,3,6,1,3942,1
6,4,0,0,57,0
6,4,1,0,429,0
6,4,2,1,1389,1
6,4,3,1,2669,1
6,4,4,1,3629,1
6,4,5,1,4013,1
6,4,6,1,4077,1
6,5,0,0,63,0
6,5,1,1,447,1
6,5,2,1,1407,1
6,5,3,1,2687,1
6,5,4,1,3647,1
6,5,5,1,4031,1
6,5,6,1,4095,1
6,6,0,1,64,1
6,6,1,1,448,1
6,6,2,1,1408,1
6,6,3,1,2688,1
6,6,4,1,3648,1
6,6,5,1,4032,1
6,6,6,1,4096,1
