error_family,streams,seed,actual_l1,actual_l2,instrument_failure_streams,failure_rate,failure_cp_upper_95
diffuse_low_error,1024,16174629999215377293,0.0296875,0.0350780380010057,0,0.0,0.0029212446353880273
heteroskedastic_proxy_coupled,1024,14167926430903290127,0.10591340702947843,0.1384679129176624,0,0.0,0.0029212446353880273
rare_top_tail,1024,16644527380024643884,0.03125,0.1767766952966369,0,0.0,0.0029212446353880273
