error_family,policy_id,optimizer_family,proxy_gain,true_gain,oracle_margin,oracle_class,predicted_crossing_checkpoint,crossed_streams,censored_streams,crossing_fraction_descriptive,minimum,q25,median,q75,maximum,cap
heteroskedastic_proxy_coupled,best_of_n:n=8,best_of_n,0.39489641273344966,0.2508241461119017,0.14481846946505522,oracle_certifiable,4096,1024,0,1.0,4096,4096.0,4096.0,4096.0,8192,1048576
heteroskedastic_proxy_coupled,best_of_n:n=16,best_of_n,0.4478488661920985,0.27505887206102386,0.0758400091364233,oracle_certifiable,65536,1024,0,1.0,65536,65536.0,65536.0,65536.0,65536,1048576
heteroskedastic_proxy_coupled,best_of_n:n=32,best_of_n,0.47649359249269596,0.2848295501955307,-0.058590894142436234,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,top_spike:alpha=0.1,top_spike,0.05,0.02757936507936508,-0.013984374999999993,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,top_spike:alpha=0.25,top_spike,0.125,0.0689484126984127,-0.03496093750000001,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,top_spike:alpha=0.5,top_spike,0.25,0.1378968253968254,-0.06992187500000002,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,top_spike:alpha=0.75,top_spike,0.37499999999999994,0.2068452380952381,-0.10488281250000009,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,top_spike:alpha=1,top_spike,0.5,0.2757936507936508,-0.13984375000000004,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.021579388669464322,0.014823439770433633,-0.013733720320745643,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.04314242469394875,0.02970489210381358,0.003432858742655559,oracle_certifiable,524288,1024,0,1.0,262144,524288.0,524288.0,524288.0,524288,1048576
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=1,scrambled_gibbs,0.0853060372489701,0.05848344209119951,0.03158325606653659,oracle_certifiable,4096,1024,0,1.0,4096,4096.0,4096.0,4096.0,8192,1048576
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=2,scrambled_gibbs,0.16266511378033238,0.1101062834444071,0.07413589093843531,oracle_certifiable,2048,1024,0,1.0,2048,2048.0,2048.0,2048.0,2048,1048576
heteroskedastic_proxy_coupled,scrambled_gibbs:beta=4,scrambled_gibbs,0.2778321659953857,0.18345874253479272,0.12248495125258632,oracle_certifiable,2048,1024,0,1.0,2048,2048.0,2048.0,2048.0,2048,1048576
rare_top_tail,gibbs:beta=0.25,gibbs,0.021471632023217117,0.017475639976165542,0.017405707544031705,oracle_certifiable,256,1024,0,1.0,128,256.0,256.0,256.0,512,1048576
rare_top_tail,gibbs:beta=0.5,gibbs,0.04280564725180789,0.034514783622086334,0.034357876256687465,oracle_certifiable,256,1024,0,1.0,256,256.0,256.0,256.0,512,1048576
rare_top_tail,gibbs:beta=1,gibbs,0.08453507378378847,0.06680131451283838,0.06641256268084418,oracle_certifiable,256,1024,0,1.0,256,256.0,256.0,512.0,512,1048576
rare_top_tail,gibbs:beta=2,gibbs,0.16117848605081797,0.121627604523523,0.12050387538113692,oracle_certifiable,512,1024,0,1.0,256,512.0,512.0,512.0,1024,1048576
rare_top_tail,gibbs:beta=4,gibbs,0.27561965554674756,0.1855316424558904,0.18168093554772816,oracle_certifiable,1024,1024,0,1.0,512,1024.0,1024.0,1024.0,2048,1048576
rare_top_tail,best_of_n:n=2,best_of_n,0.16927083333333331,0.13899739583333331,0.13850911458333331,oracle_certifiable,256,1024,0,1.0,128,256.0,256.0,256.0,512,1048576
rare_top_tail,best_of_n:n=4,best_of_n,0.3046792348225911,0.21666749318440753,0.21382852395375568,oracle_certifiable,1024,1024,0,1.0,512,1024.0,1024.0,1024.0,1024,1048576
rare_top_tail,best_of_n:n=8,best_of_n,0.39489641273344966,0.20184629247565528,0.18939928279311624,oracle_certifiable,4096,1024,0,1.0,2048,4096.0,4096.0,8192.0,8192,1048576
rare_top_tail,best_of_n:n=16,best_of_n,0.4478488661920985,0.08080916962417083,0.03362920807892422,oracle_certifiable,524288,1024,0,1.0,262144,524288.0,524288.0,1048576.0,1048576,1048576
rare_top_tail,best_of_n:n=32,best_of_n,0.47649359249269596,-0.13020111825098749,-0.2066283327153684,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,top_spike:alpha=0.1,top_spike,0.05,-0.04687500000000001,-0.09031215200402283,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,top_spike:alpha=0.25,top_spike,0.125,-0.1171875,-0.22578038001005707,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,top_spike:alpha=0.5,top_spike,0.25,-0.234375,-0.45156076002011414,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,top_spike:alpha=0.75,top_spike,0.37499999999999994,-0.35156250000000006,-0.6773411400301712,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,top_spike:alpha=1,top_spike,0.5,-0.46875,-0.9031215200402283,structurally_uncertifiable,,0,1024,0.0,,,,,,1048576
rare_top_tail,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.021579388669464322,0.011109281660139098,0.0048997122979954275,oracle_certifiable,65536,1024,0,1.0,32768,65536.0,65536.0,65536.0,65536,1048576
rare_top_tail,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.04314242469394875,0.02760515963134848,0.020732202771752507,oracle_certifiable,4096,1024,0,1.0,2048,4096.0,4096.0,8192.0,8192,1048576
rare_top_tail,scrambled_gibbs:beta=1,scrambled_gibbs,0.0853060372489701,0.058646169087824544,0.05036429593575989,oracle_certifiable,2048,1024,0,1.0,1024,2048.0,2048.0,2048.0,4096,1048576
rare_top_tail,scrambled_gibbs:beta=2,scrambled_gibbs,0.16266511378033238,0.11040869723412593,0.09911609916181126,oracle_certifiable,2048,1024,0,1.0,1024,2048.0,2048.0,2048.0,4096,1048576
rare_top_tail,scrambled_gibbs:beta=4,scrambled_gibbs,0.2778321659953857,0.1668600383182817,0.14984808800993854,oracle_certifiable,4096,1024,0,1.0,2048,4096.0,4096.0,4096.0,4096,1048576
