error_family,policy_id,optimizer_family,checkpoint,crossing_fraction_descriptive,mean_margin
diffuse_low_error,gibbs:beta=4,gibbs,256,0.0,-0.07817108247838314
diffuse_low_error,gibbs:beta=4,gibbs,512,0.0,-0.02254453741243336
diffuse_low_error,gibbs:beta=4,gibbs,1024,1.0,0.024103431449693773
diffuse_low_error,gibbs:beta=4,gibbs,2048,1.0,0.06700337640294202
diffuse_low_error,gibbs:beta=4,gibbs,4096,1.0,0.10195946767314172
diffuse_low_error,gibbs:beta=4,gibbs,8192,1.0,0.1266758510881495
diffuse_low_error,gibbs:beta=4,gibbs,16384,1.0,0.14587874833614733
diffuse_low_error,gibbs:beta=4,gibbs,32768,1.0,0.16471586920513653
diffuse_low_error,gibbs:beta=4,gibbs,65536,1.0,0.1802561305714383
diffuse_low_error,gibbs:beta=4,gibbs,131072,1.0,0.1929892340881002
diffuse_low_error,gibbs:beta=4,gibbs,262144,1.0,0.20333473909790767
diffuse_low_error,gibbs:beta=4,gibbs,524288,1.0,0.21165177940269359
diffuse_low_error,gibbs:beta=4,gibbs,1048576,1.0,0.21825582025408355
diffuse_low_error,best_of_n:n=2,best_of_n,32,0.0,-0.15675967886104095
diffuse_low_error,best_of_n:n=2,best_of_n,64,0.0,-0.08111686216808936
diffuse_low_error,best_of_n:n=2,best_of_n,128,0.0,-0.016341234423688046
diffuse_low_error,best_of_n:n=2,best_of_n,256,1.0,0.02942602233579962
diffuse_low_error,best_of_n:n=2,best_of_n,512,1.0,0.06185762997569093
diffuse_low_error,best_of_n:n=2,best_of_n,1024,1.0,0.08475954096263254
diffuse_low_error,best_of_n:n=2,best_of_n,2048,1.0,0.10095613513688965
diffuse_low_error,best_of_n:n=2,best_of_n,4096,1.0,0.11240305977312526
diffuse_low_error,best_of_n:n=2,best_of_n,8192,1.0,0.12049683021344602
diffuse_low_error,best_of_n:n=2,best_of_n,16384,1.0,0.12621794266500969
diffuse_low_error,best_of_n:n=2,best_of_n,32768,1.0,0.13026950928286518
diffuse_low_error,best_of_n:n=2,best_of_n,65536,1.0,0.1331354803228696
diffuse_low_error,best_of_n:n=2,best_of_n,131072,1.0,0.13516018587621018
diffuse_low_error,best_of_n:n=2,best_of_n,262144,1.0,0.13659240965147149
diffuse_low_error,best_of_n:n=2,best_of_n,524288,1.0,0.13760450211111305
diffuse_low_error,best_of_n:n=2,best_of_n,1048576,1.0,0.13831988397426764
diffuse_low_error,best_of_n:n=4,best_of_n,32,0.0,-0.33556423829967236
diffuse_low_error,best_of_n:n=4,best_of_n,64,0.0,-0.23413621819932326
diffuse_low_error,best_of_n:n=4,best_of_n,128,0.0,-0.14891915975806036
diffuse_low_error,best_of_n:n=4,best_of_n,256,0.0,-0.07735964817270137
diffuse_low_error,best_of_n:n=4,best_of_n,512,0.0,-0.012536208797098686
diffuse_low_error,best_of_n:n=4,best_of_n,1024,1.0,0.05508619190062644
diffuse_low_error,best_of_n:n=4,best_of_n,2048,1.0,0.10292071331810407
diffuse_low_error,best_of_n:n=4,best_of_n,4096,1.0,0.1367277072938224
diffuse_low_error,best_of_n:n=4,best_of_n,8192,1.0,0.16063159914356856
diffuse_low_error,best_of_n:n=4,best_of_n,16384,1.0,0.1775281561080621
diffuse_low_error,best_of_n:n=4,best_of_n,32768,1.0,0.1894939279284229
diffuse_low_error,best_of_n:n=4,best_of_n,65536,1.0,0.20170148372761215
diffuse_low_error,best_of_n:n=4,best_of_n,131072,1.0,0.21545125194292197
diffuse_low_error,best_of_n:n=4,best_of_n,262144,1.0,0.22662278571464067
diffuse_low_error,best_of_n:n=4,best_of_n,524288,1.0,0.23560389360232525
diffuse_low_error,best_of_n:n=4,best_of_n,1048576,1.0,0.24273522893406332
diffuse_low_error,best_of_n:n=8,best_of_n,32,0.0,-0.6250988087715484
diffuse_low_error,best_of_n:n=8,best_of_n,64,0.0,-0.4635101316944569
diffuse_low_error,best_of_n:n=8,best_of_n,128,0.0,-0.3277477287184229
diffuse_low_error,best_of_n:n=8,best_of_n,256,0.0,-0.21374366161821962
diffuse_low_error,best_of_n:n=8,best_of_n,512,0.0,-0.11804713571747304
diffuse_low_error,best_of_n:n=8,best_of_n,1024,0.0,-0.037796806398273444
diffuse_low_error,best_of_n:n=8,best_of_n,2048,1.0,0.02943490396050233
diffuse_low_error,best_of_n:n=8,best_of_n,4096,1.0,0.08567392738841567
diffuse_low_error,best_of_n:n=8,best_of_n,8192,1.0,0.13262092199016506
diffuse_low_error,best_of_n:n=8,best_of_n,16384,1.0,0.17169804453449578
diffuse_low_error,best_of_n:n=8,best_of_n,32768,1.0,0.20410428193423968
diffuse_low_error,best_of_n:n=8,best_of_n,65536,1.0,0.23083880270272406
diffuse_low_error,best_of_n:n=8,best_of_n,131072,1.0,0.25274405978878745
