error_family,streams,seed,instrument_failure_streams,failure_cp_upper_95
diffuse_low_error,1024,3441207983263099476,0,0.0029212446353880273
heteroskedastic_proxy_coupled,1024,7010498648057573022,0,0.0029212446353880273
rare_top_tail,1024,681058976419448937,0,0.0029212446353880273
