error_family,policy_id,optimizer_family,checkpoint,empirical_bernstein_crossing_fraction_descriptive,mean_margin
diffuse_low_error,gibbs:beta=4,gibbs,256,1.0,0.003988203087102079
diffuse_low_error,gibbs:beta=4,gibbs,512,1.0,0.08193943675660242
diffuse_low_error,gibbs:beta=4,gibbs,1024,1.0,0.1360595271728033
diffuse_low_error,gibbs:beta=4,gibbs,2048,1.0,0.17343852082586386
diffuse_low_error,gibbs:beta=4,gibbs,4096,1.0,0.1986936726657435
diffuse_low_error,gibbs:beta=4,gibbs,8192,1.0,0.21520207139227293
diffuse_low_error,gibbs:beta=4,gibbs,16384,1.0,0.22548935385715063
diffuse_low_error,gibbs:beta=4,gibbs,32768,1.0,0.23155533027976738
diffuse_low_error,gibbs:beta=4,gibbs,65536,1.0,0.23495017203528662
diffuse_low_error,gibbs:beta=4,gibbs,131072,1.0,0.2367774149509888
diffuse_low_error,gibbs:beta=4,gibbs,262144,1.0,0.2377384974058087
diffuse_low_error,gibbs:beta=4,gibbs,524288,1.0,0.23823878894308398
diffuse_low_error,gibbs:beta=4,gibbs,1048576,1.0,0.2384982233898722
diffuse_low_error,best_of_n:n=2,best_of_n,32,0.0,-0.2551205657809236
diffuse_low_error,best_of_n:n=2,best_of_n,64,0.0,-0.1283048672192654
diffuse_low_error,best_of_n:n=2,best_of_n,128,0.99609375,0.004472995649139926
diffuse_low_error,best_of_n:n=2,best_of_n,256,1.0,0.07121663420447197
diffuse_low_error,best_of_n:n=2,best_of_n,512,1.0,0.1048177886336584
diffuse_low_error,best_of_n:n=2,best_of_n,1024,1.0,0.12181508499922677
diffuse_low_error,best_of_n:n=2,best_of_n,2048,1.0,0.1304759525686295
diffuse_low_error,best_of_n:n=2,best_of_n,4096,1.0,0.13493859865309177
diffuse_low_error,best_of_n:n=2,best_of_n,8192,1.0,0.13727342166968287
diffuse_low_error,best_of_n:n=2,best_of_n,16384,1.0,0.1417047850764744
diffuse_low_error,best_of_n:n=2,best_of_n,32768,1.0,0.14504039234702715
diffuse_low_error,best_of_n:n=2,best_of_n,65536,1.0,0.1469071748818002
diffuse_low_error,best_of_n:n=2,best_of_n,131072,1.0,0.14791195372201416
diffuse_low_error,best_of_n:n=2,best_of_n,262144,1.0,0.14844044137190765
diffuse_low_error,best_of_n:n=2,best_of_n,524288,1.0,0.14871554565403267
diffuse_low_error,best_of_n:n=2,best_of_n,1048576,1.0,0.1488582055271756
diffuse_low_error,best_of_n:n=4,best_of_n,32,0.0,-0.5287207482137728
diffuse_low_error,best_of_n:n=4,best_of_n,64,0.0,-0.2807827796050253
diffuse_low_error,best_of_n:n=4,best_of_n,128,0.0,-0.10879796085780052
diffuse_low_error,best_of_n:n=4,best_of_n,256,1.0,0.015279480710574842
diffuse_low_error,best_of_n:n=4,best_of_n,512,1.0,0.1143256015872475
diffuse_low_error,best_of_n:n=4,best_of_n,1024,1.0,0.1645248921473746
diffuse_low_error,best_of_n:n=4,best_of_n,2048,1.0,0.1943396826454872
diffuse_low_error,best_of_n:n=4,best_of_n,4096,1.0,0.22161115696045608
diffuse_low_error,best_of_n:n=4,best_of_n,8192,1.0,0.2394376558810587
diffuse_low_error,best_of_n:n=4,best_of_n,16384,1.0,0.250546318374252
diffuse_low_error,best_of_n:n=4,best_of_n,32768,1.0,0.2570966279434292
diffuse_low_error,best_of_n:n=4,best_of_n,65536,1.0,0.2607625281856572
diffuse_low_error,best_of_n:n=4,best_of_n,131072,1.0,0.26273566588387004
diffuse_low_error,best_of_n:n=4,best_of_n,262144,1.0,0.2637734852161548
diffuse_low_error,best_of_n:n=4,best_of_n,524288,1.0,0.26431372214021764
diffuse_low_error,best_of_n:n=4,best_of_n,1048576,1.0,0.2645938709276471
diffuse_low_error,best_of_n:n=8,best_of_n,32,0.0,-0.9048777571884251
diffuse_low_error,best_of_n:n=8,best_of_n,64,0.0,-0.537824469490712
diffuse_low_error,best_of_n:n=8,best_of_n,128,0.0,-0.2638291838565032
diffuse_low_error,best_of_n:n=8,best_of_n,256,0.0,-0.07240182221793282
diffuse_low_error,best_of_n:n=8,best_of_n,512,1.0,0.06151495831177271
diffuse_low_error,best_of_n:n=8,best_of_n,1024,1.0,0.15480565347786882
diffuse_low_error,best_of_n:n=8,best_of_n,2048,1.0,0.21911020142387339
diffuse_low_error,best_of_n:n=8,best_of_n,4096,1.0,0.2625576290738735
diffuse_low_error,best_of_n:n=8,best_of_n,8192,1.0,0.29095767449176163
diffuse_low_error,best_of_n:n=8,best_of_n,16384,1.0,0.3086552897522692
diffuse_low_error,best_of_n:n=8,best_of_n,32768,1.0,0.3190908267634577
diffuse_low_error,best_of_n:n=8,best_of_n,65536,1.0,0.3249311061049271
diffuse_low_error,best_of_n:n=8,best_of_n,131072,1.0,0.32807458371623904
diffuse_low_error,best_of_n:n=8,best_of_n,262144,1.0,0.3297279715353349
diffuse_low_error,best_of_n:n=8,best_of_n,524288,1.0,0.33058864267710764
diffuse_low_error,best_of_n:n=8,best_of_n,1048576,1.0,0.3310349579251099
diffuse_low_error,best_of_n:n=16,best_of_n,32,0.0,-1.1105503462316872
diffuse_low_error,best_of_n:n=16,best_of_n,64,0.0,-0.9396402694482131
diffuse_low_error,best_of_n:n=16,best_of_n,128,0.0,-0.532052652102724
diffuse_low_error,best_of_n:n=16,best_of_n,256,0.0,-0.24729073715079442
diffuse_low_error,best_of_n:n=16,best_of_n,512,0.0,-0.04807993185412582
diffuse_low_error,best_of_n:n=16,best_of_n,1024,1.0,0.09069666087169467
diffuse_low_error,best_of_n:n=16,best_of_n,2048,1.0,0.18635428294035128
diffuse_low_error,best_of_n:n=16,best_of_n,4096,1.0,0.2509854442928703
diffuse_low_error,best_of_n:n=16,best_of_n,8192,1.0,0.29323254652890773
diffuse_low_error,best_of_n:n=16,best_of_n,16384,1.0,0.3195590171469367
diffuse_low_error,best_of_n:n=16,best_of_n,32768,1.0,0.33508262608884154
diffuse_low_error,best_of_n:n=16,best_of_n,65536,1.0,0.34377046002697553
diffuse_low_error,best_of_n:n=16,best_of_n,131072,1.0,0.3484466081833494
diffuse_low_error,best_of_n:n=16,best_of_n,262144,1.0,0.3509061410186442
diffuse_low_error,best_of_n:n=16,best_of_n,524288,1.0,0.3521864510034719
diffuse_low_error,best_of_n:n=16,best_of_n,1048576,1.0,0.3528503769104346
diffuse_low_error,best_of_n:n=32,best_of_n,32,0.0,-1.2556355194637434
diffuse_low_error,best_of_n:n=32,best_of_n,64,0.0,-1.2556355194637434
diffuse_low_error,best_of_n:n=32,best_of_n,128,0.0,-0.9329623678295067
diffuse_low_error,best_of_n:n=32,best_of_n,256,0.0,-0.5233708213237032
diffuse_low_error,best_of_n:n=32,best_of_n,512,0.0,-0.23683298905809624
diffuse_low_error,best_of_n:n=32,best_of_n,1024,0.0,-0.03722160758887742
diffuse_low_error,best_of_n:n=32,best_of_n,2048,1.0,0.10036895948110022
diffuse_low_error,best_of_n:n=32,best_of_n,4096,1.0,0.1933321541390417
diffuse_low_error,best_of_n:n=32,best_of_n,8192,1.0,0.2540989035941731
