n,k,flip_rate,plan,observation_order,intervention_width,query_count,samples_per_query,total_samples,cutoff,fwer_upper,power_lower,feasible
8,4,1/20,boundary_s1,3,1,280,22,6160,2,4445/131072,1898293659606070888764462041/2097152000000000000000000000,1
8,4,1/20,boundary_s2,2,2,420,26,10920,3,38745/1048576,32254486455957996678753081103857/33554432000000000000000000000000,1
8,4,1/20,boundary_s3,1,3,280,22,6160,2,4445/131072,1898293659606070888764462041/2097152000000000000000000000,1
8,4,1/20,boundary_s4,0,4,70,20,1400,2,7385/262144,48471281563677682933571971/52428800000000000000000000,1
8,4,1/20,containment_s5,0,5,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,4,1/20,containment_s6,0,6,28,18,504,2,301/8192,15431615625867732474407/16384000000000000000000,1
8,4,1/20,containment_s7,0,7,8,16,128,2,137/4096,62722024833956407861/65536000000000000000,1
8,4,1/20,full_clamp,0,8,1,9,9,1,5/128,11888494133/12800000000,1
8,4,3/20,boundary_s0,4,0,70,40,2800,9,3268874035/68719476736,1282002710947398504736830772507689153724827569143217/1374389534720000000000000000000000000000000000000000,1
8,4,3/20,boundary_s1,3,1,280,46,12880,10,96310222155/2199023255552,162818074041962138069723067264690875586475469639111576008807/175921860444160000000000000000000000000000000000000000000000,1
8,4,3/20,boundary_s2,2,2,420,47,19740,10,727705871655/17592186044416,644131666883319102096288455803971621076354685713039799143453/703687441776640000000000000000000000000000000000000000000000,1
8,4,3/20,boundary_s3,1,3,280,46,12880,10,96310222155/2199023255552,162818074041962138069723067264690875586475469639111576008807/175921860444160000000000000000000000000000000000000000000000,1
8,4,3/20,boundary_s4,0,4,70,40,2800,9,3268874035/68719476736,1282002710947398504736830772507689153724827569143217/1374389534720000000000000000000000000000000000000000,1
8,4,3/20,containment_s5,0,5,56,37,2072,8,90542711/2147483648,623704295907377219707614669661501119183243181/687194767360000000000000000000000000000000000,1
8,4,3/20,containment_s6,0,6,28,36,1008,8,71749153/2147483648,1580368633908757492947856944350258123231594191/1717986918400000000000000000000000000000000000,1
8,4,3/20,containment_s7,0,7,8,27,216,6,198797/4194304,604937146143339827731706306012131/671088640000000000000000000000000,1
8,4,3/20,full_clamp,0,8,1,17,17,4,1607/32768,59066943224413682347/65536000000000000000,1
8,4,1/4,boundary_s0,4,0,70,84,5880,26,26569958449013842729265/604462909807314587353088,21387355994942152642842557298296244882302904342403/23384026197294446691258957323460528314494920687616,1
8,4,1/4,boundary_s1,3,1,280,96,26880,29,183325131937585250480639905/4951760157141521099596496896,2826669237463320709079161387627835545442740208230104850283/3138550867693340381917894711603833208051177722232017256448,1
8,4,1/4,boundary_s2,2,2,420,99,41580,30,115363514836481687360571315/2475880078570760549798248448,11385264630986629380185580568943779265724764007803310621059/12554203470773361527671578846415332832204710888928069025792,1
8,4,1/4,boundary_s3,1,3,280,96,26880,29,183325131937585250480639905/4951760157141521099596496896,2826669237463320709079161387627835545442740208230104850283/3138550867693340381917894711603833208051177722232017256448,1
8,4,1/4,boundary_s4,0,4,70,84,5880,26,26569958449013842729265/604462909807314587353088,21387355994942152642842557298296244882302904342403/23384026197294446691258957323460528314494920687616,1
8,4,1/4,containment_s5,0,5,56,81,4536,25,795606541748617987073/18889465931478580854784,166004869209846013798394332727343992659359050135/182687704666362864775460604089535377456991567872,1
8,4,1/4,containment_s6,0,6,28,74,2072,23,3132571668073075445/73786976294838206464,10122698923905562375428628342808868556339685/11150372599265311570767859136324180752990208,1
8,4,1/4,containment_s7,0,7,8,60,480,19,3584203906519219/72057594037927936,603147657093955078649154388183487435/664613997892457936451903530140172288,1
8,4,1/4,full_clamp,0,8,1,42,42,14,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1
8,5,1/20,boundary_s0,5,0,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,5,1/20,boundary_s1,4,1,280,22,6160,2,4445/131072,1898293659606070888764462041/2097152000000000000000000000,1
8,5,1/20,boundary_s2,3,2,560,26,14560,3,12915/262144,32254486455957996678753081103857/33554432000000000000000000000000,1
8,5,1/20,boundary_s3,2,3,560,26,14560,3,12915/262144,32254486455957996678753081103857/33554432000000000000000000000000,1
8,5,1/20,boundary_s4,1,4,280,22,6160,2,4445/131072,1898293659606070888764462041/2097152000000000000000000000,1
8,5,1/20,boundary_s5,0,5,56,19,1064,2,1337/32768,244699273200091417605281/262144000000000000000000,1
8,5,1/20,containment_s6,0,6,28,18,504,2,301/8192,15431615625867732474407/16384000000000000000000,1
8,5,1/20,containment_s7,0,7,8,16,128,2,137/4096,62722024833956407861/65536000000000000000,1
8,5,1/20,full_clamp,0,8,1,9,9,1,5/128,11888494133/12800000000,1
8,5,3/20,boundary_s0,5,0,56,37,2072,8,90542711/2147483648,623704295907377219707614669661501119183243181/687194767360000000000000000000000000000000000,1
8,5,3/20,boundary_s1,4,1,280,46,12880,10,96310222155/2199023255552,162818074041962138069723067264690875586475469639111576008807/175921860444160000000000000000000000000000000000000000000000,1
8,5,3/20,boundary_s2,3,2,560,48,26880,10,303904911485/8796093022208,127284343431166785096227807024764137712154493337155587860774751/140737488355328000000000000000000000000000000000000000000000000,1
