error_family,sample_size,replicates,seed,actual_l1,actual_l2,simultaneous_radius_failures,failure_rate,failure_rate_cp_upper_95,mean_registered_coverage
diffuse_low_error,32,4096,3373541336361064211,0.0296875,0.0350780380010057,0,0.0,0.0007311125564754342,0.0
diffuse_low_error,128,4096,4834928165089694988,0.0296875,0.0350780380010057,0,0.0,0.0007311125564754342,0.15047607421875
diffuse_low_error,512,4096,4838333105127459798,0.0296875,0.0350780380010057,0,0.0,0.0007311125564754342,0.44766845703125
heteroskedastic_proxy_coupled,32,4096,3527478787767544993,0.10591340702947846,0.1384679129176624,0,0.0,0.0007311125564754342,0.0
heteroskedastic_proxy_coupled,128,4096,16445720844505591940,0.10591340702947846,0.1384679129176624,0,0.0,0.0007311125564754342,0.0
heteroskedastic_proxy_coupled,512,4096,5528718665026123730,0.10591340702947846,0.1384679129176624,0,0.0,0.0007311125564754342,0.2442626953125
rare_top_tail,32,4096,16463033213888152448,0.03125,0.1767766952966369,0,0.0,0.0007311125564754342,0.0
rare_top_tail,128,4096,12792704747114444619,0.03125,0.1767766952966369,0,0.0,0.0007311125564754342,0.13853759765625
rare_top_tail,512,4096,10518048954349346748,0.03125,0.1767766952966369,0,0.0,0.0007311125564754342,0.3301025390625
