error_family,sample_size,policy_id,optimizer_family,proxy_gain,true_gain,movement_l1,movement_l2,movement_linf,kl_pi_p0,registered_certified_fraction,registered_false_safe_count,conditional_false_safe_count,pinsker_certified_fraction,rmse_only_certified_fraction,proxy_only_certified_fraction,rmse_only_false_safe_count,proxy_only_false_safe_count
diffuse_low_error,32,gibbs:beta=0.25,gibbs,0.021471632023217117,0.02156840220168199,0.06342879050940115,0.07326596045750301,0.1301095833339332,0.002682512429857056,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,gibbs:beta=0.5,gibbs,0.04280564725180789,0.04299129874815887,0.12651637842990374,0.1462966550639766,0.27032867184385356,0.010678487341751097,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,gibbs:beta=1,gibbs,0.08453507378378847,0.08487573013898489,0.2503850231480972,0.29074610732671685,0.5799203552942171,0.041909511510501075,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,gibbs:beta=2,gibbs,0.16117848605081797,0.16174912935303898,0.481215813521801,0.5677410518307096,1.3015875414297935,0.15595609233809976,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,gibbs:beta=4,gibbs,0.27561965554674756,0.2764464712100259,0.8440637696359343,1.049813511172201,3.0060390399686208,0.49028160475722493,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,best_of_n:n=2,best_of_n,0.16927083333333331,0.17006429036458334,0.5,0.577279787559724,0.984375,0.1930159387641344,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,best_of_n:n=4,best_of_n,0.3046792348225911,0.3055332471927007,0.94482421875,1.1336350504831605,2.9072227478027344,0.6361112836707075,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,best_of_n:n=8,best_of_n,0.39489641273344966,0.39601153343446527,1.299774169921875,1.8060353333779144,6.5759081580906695,1.2037770968452264,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,best_of_n:n=16,best_of_n,0.4478488661920985,0.4499933327592194,1.5583992124237862,2.686606948982354,13.255029059621577,1.8324760994551474,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,best_of_n:n=32,best_of_n,0.47649359249269596,0.4821277852049132,1.732129111956439,3.8643211655346548,24.334966658451663,2.486615532998487,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,top_spike:alpha=0.1,top_spike,0.05,0.05257812500000002,0.196875,0.7937253933193773,6.300000000000001,0.13339908599574957,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,top_spike:alpha=0.25,top_spike,0.125,0.1314453125,0.4921875,1.984313483298443,15.75,0.5252373891045917,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,top_spike:alpha=0.5,top_spike,0.25,0.262890625,0.984375,3.968626966596886,31.5,1.426658854933933,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,top_spike:alpha=0.75,top_spike,0.37499999999999994,0.39433593750000007,1.4765625,5.952940449895329,47.25,2.581280664109183,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,top_spike:alpha=1,top_spike,0.5,0.52578125,1.96875,7.937253933193772,63.0,4.1588830833596715,0.0,0,0,0.0,1.0,1.0,0,0
diffuse_low_error,32,scrambled_gibbs:beta=0.25,scrambled_gibbs,0.021579388669464322,0.022165322559344953,0.2250744234369498,0.25502737960099325,0.5337496438870046,0.03245568886957104,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,scrambled_gibbs:beta=0.5,scrambled_gibbs,0.04314242469394875,0.043854917237848026,0.2385281216061494,0.28677810703268,0.7171271015102798,0.04053180029712194,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,scrambled_gibbs:beta=1,scrambled_gibbs,0.0853060372489701,0.08625938084893295,0.3072389371195753,0.38798000237339353,1.1181357220227266,0.0722388924305193,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,scrambled_gibbs:beta=2,scrambled_gibbs,0.16266511378033238,0.16405601957271065,0.5136236077147188,0.6393482863754831,2.033568467792676,0.18822076039982852,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,32,scrambled_gibbs:beta=4,scrambled_gibbs,0.2778321659953857,0.2799679856212711,0.8646431605912726,1.12190045671573,4.0954904955343086,0.5278481665053192,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,128,gibbs:beta=0.25,gibbs,0.021471632023217117,0.02156840220168199,0.06342879050940115,0.07326596045750301,0.1301095833339332,0.002682512429857056,1.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,128,gibbs:beta=0.5,gibbs,0.04280564725180789,0.04299129874815887,0.12651637842990374,0.1462966550639766,0.27032867184385356,0.010678487341751097,1.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,128,gibbs:beta=1,gibbs,0.08453507378378847,0.08487573013898489,0.2503850231480972,0.29074610732671685,0.5799203552942171,0.041909511510501075,0.009521484375,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,128,gibbs:beta=2,gibbs,0.16117848605081797,0.16174912935303898,0.481215813521801,0.5677410518307096,1.3015875414297935,0.15595609233809976,0.0,0,0,0.0,0.0,1.0,0,0
diffuse_low_error,128,gibbs:beta=4,gibbs,0.27561965554674756,0.2764464712100259,0.8440637696359343,1.049813511172201,3.0060390399686208,0.49028160475722493,0.0,0,0,0.0,0.0,1.0,0,0
