policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
831,1;0;1;0;13,8/5,4/3,6/5,positive,14/5,32/35,positive,10/3,12/25,positive
832,1;0;1;1;12,23/15,6/5,23/18,positive,34/15,529/510,positive,3,23/45,positive
833,1;0;1;2;11,22/15,16/15,11/8,positive,82/45,242/205,positive,8/3,11/20,positive
834,1;0;1;3;10,7/5,14/15,3/2,positive,22/15,147/110,positive,7/3,3/5,positive
835,1;0;1;4;9,4/3,14/15,10/7,positive,6/5,40/27,positive,2,2/3,positive
836,1;0;1;5;8,19/15,14/15,19/14,positive,46/45,361/230,positive,5/3,19/25,positive
837,1;0;1;6;7,6/5,14/15,9/7,positive,14/15,54/35,positive,4/3,9/10,positive
838,1;0;1;7;6,17/15,14/15,17/14,positive,14/15,289/210,positive,4/3,17/20,positive
839,1;0;1;8;5,16/15,14/15,8/7,positive,46/45,128/115,positive,5/3,16/25,positive
840,1;0;1;9;4,1,14/15,15/14,positive,6/5,5/6,positive,2,1/2,positive
841,1;0;1;10;3,14/15,14/15,1,positive,22/15,98/165,positive,7/3,2/5,positive
842,1;0;1;11;2,13/15,16/15,13/16,positive,82/45,169/410,positive,8/3,13/40,positive
843,1;0;1;12;1,4/5,6/5,2/3,positive,34/15,24/85,positive,3,4/15,positive
844,1;0;1;13;0,11/15,4/3,11/20,positive,14/5,121/630,positive,10/3,11/50,negative
845,1;0;2;0;12,22/15,6/5,11/9,positive,104/45,121/130,positive,3,22/45,positive
846,1;0;2;1;11,7/5,16/15,21/16,positive,82/45,441/410,positive,8/3,21/40,positive
847,1;0;2;2;10,4/3,14/15,10/7,positive,64/45,5/4,positive,7/3,4/7,positive
848,1;0;2;3;9,19/15,4/5,19/12,positive,10/9,361/250,positive,2,19/30,positive
849,1;0;2;4;8,6/5,4/5,3/2,positive,8/9,81/50,positive,5/3,18/25,positive
850,1;0;2;5;7,17/15,4/5,17/12,positive,34/45,17/10,positive,4/3,17/20,positive
851,1;0;2;6;6,16/15,4/5,4/3,positive,32/45,8/5,positive,1,16/15,positive
852,1;0;2;7;5,1,4/5,5/4,positive,34/45,45/34,positive,4/3,3/4,positive
853,1;0;2;8;4,14/15,4/5,7/6,positive,8/9,49/50,positive,5/3,14/25,positive
854,1;0;2;9;3,13/15,4/5,13/12,positive,10/9,169/250,positive,2,13/30,positive
855,1;0;2;10;2,4/5,14/15,6/7,positive,64/45,9/20,positive,7/3,12/35,positive
856,1;0;2;11;1,11/15,16/15,11/16,positive,82/45,121/410,positive,8/3,11/40,positive
857,1;0;2;12;0,2/3,6/5,5/9,positive,104/45,5/26,positive,3,2/9,negative
858,1;0;3;0;11,4/3,16/15,5/4,positive,86/45,40/43,positive,8/3,1/2,positive
859,1;0;3;1;10,19/15,14/15,19/14,positive,22/15,361/330,positive,7/3,19/35,positive
860,1;0;3;2;9,6/5,4/5,3/2,positive,10/9,162/125,positive,2,3/5,positive
861,1;0;3;3;8,17/15,2/3,17/10,positive,38/45,289/190,positive,5/3,17/25,positive
862,1;0;3;4;7,16/15,2/3,8/5,positive,2/3,128/75,positive,4/3,4/5,positive
863,1;0;3;5;6,1,2/3,3/2,positive,26/45,45/26,positive,1,1,positive
864,1;0;3;6;5,14/15,2/3,7/5,positive,26/45,98/65,positive,1,14/15,positive
865,1;0;3;7;4,13/15,2/3,13/10,positive,2/3,169/150,positive,4/3,13/20,positive
866,1;0;3;8;3,4/5,2/3,6/5,positive,38/45,72/95,positive,5/3,12/25,positive
867,1;0;3;9;2,11/15,4/5,11/12,positive,10/9,121/250,positive,2,11/30,positive
868,1;0;3;10;1,2/3,14/15,5/7,positive,22/15,10/33,positive,7/3,2/7,positive
869,1;0;3;11;0,3/5,16/15,9/16,positive,86/45,81/430,positive,8/3,9/40,negative
870,1;0;4;0;10,6/5,16/15,9/8,positive,8/5,9/10,positive,7/3,18/35,positive
871,1;0;4;1;9,17/15,14/15,17/14,positive,6/5,289/270,positive,2,17/30,positive
872,1;0;4;2;8,16/15,4/5,4/3,positive,8/9,32/25,positive,5/3,16/25,positive
