policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
1045,1;2;0;4;8,16/15,4/5,4/3,positive,8/9,32/25,positive,5/3,16/25,positive
1046,1;2;0;5;7,1,4/5,5/4,positive,34/45,45/34,positive,4/3,3/4,positive
1047,1;2;0;6;6,14/15,4/5,7/6,positive,32/45,49/40,positive,1,14/15,positive
1048,1;2;0;7;5,13/15,4/5,13/12,positive,34/45,169/170,positive,4/3,13/20,positive
1049,1;2;0;8;4,4/5,4/5,1,positive,8/9,18/25,positive,5/3,12/25,positive
1050,1;2;0;9;3,11/15,4/5,11/12,positive,10/9,121/250,positive,2,11/30,positive
1051,1;2;0;10;2,2/3,14/15,5/7,positive,64/45,5/16,positive,7/3,2/7,positive
1052,1;2;0;11;1,3/5,16/15,9/16,positive,82/45,81/410,positive,8/3,9/40,negative
1053,1;2;0;12;0,8/15,6/5,4/9,positive,104/45,8/65,positive,3,8/45,negative
1054,1;2;1;0;11,6/5,16/15,9/8,positive,82/45,162/205,positive,8/3,9/20,positive
1055,1;2;1;1;10,17/15,14/15,17/14,positive,62/45,289/310,positive,7/3,17/35,positive
1056,1;2;1;2;9,16/15,4/5,4/3,positive,46/45,128/115,positive,2,8/15,positive
1057,1;2;1;3;8,1,2/3,3/2,positive,34/45,45/34,positive,5/3,3/5,positive
1058,1;2;1;4;7,14/15,2/3,7/5,positive,26/45,98/65,positive,4/3,7/10,positive
1059,1;2;1;5;6,13/15,2/3,13/10,positive,22/45,169/110,positive,1,13/15,positive
1060,1;2;1;6;5,4/5,2/3,6/5,positive,22/45,72/55,positive,1,4/5,positive
1061,1;2;1;7;4,11/15,2/3,11/10,positive,26/45,121/130,positive,4/3,11/20,positive
1062,1;2;1;8;3,2/3,2/3,1,positive,34/45,10/17,positive,5/3,2/5,positive
1063,1;2;1;9;2,3/5,4/5,3/4,positive,46/45,81/230,positive,2,3/10,positive
1064,1;2;1;10;1,8/15,14/15,4/7,positive,62/45,32/155,positive,7/3,8/35,negative
1065,1;2;1;11;0,7/15,16/15,7/16,positive,82/45,49/410,positive,8/3,7/40,negative
1066,1;2;2;0;10,16/15,14/15,8/7,positive,64/45,4/5,positive,7/3,16/35,positive
1067,1;2;2;1;9,1,4/5,5/4,positive,46/45,45/46,positive,2,1/2,positive
1068,1;2;2;2;8,14/15,2/3,7/5,positive,32/45,49/40,positive,5/3,14/25,positive
1069,1;2;2;3;7,13/15,8/15,13/8,positive,22/45,169/110,positive,4/3,13/20,positive
1070,1;2;2;4;6,4/5,8/15,3/2,positive,16/45,9/5,positive,1,4/5,positive
1071,1;2;2;5;5,11/15,8/15,11/8,positive,14/45,121/70,positive,2/3,11/10,positive
1072,1;2;2;6;4,2/3,8/15,5/4,positive,16/45,5/4,positive,1,2/3,positive
1073,1;2;2;7;3,3/5,8/15,9/8,positive,22/45,81/110,positive,4/3,9/20,positive
1074,1;2;2;8;2,8/15,2/3,4/5,positive,32/45,2/5,positive,5/3,8/25,positive
1075,1;2;2;9;1,7/15,4/5,7/12,positive,46/45,49/230,positive,2,7/30,negative
1076,1;2;2;10;0,2/5,14/15,3/7,positive,64/45,9/80,positive,7/3,6/35,negative
1077,1;2;3;0;9,14/15,4/5,7/6,positive,10/9,98/125,positive,2,7/15,positive
1078,1;2;3;1;8,13/15,2/3,13/10,positive,34/45,169/170,positive,5/3,13/25,positive
1079,1;2;3;2;7,4/5,8/15,3/2,positive,22/45,72/55,positive,4/3,3/5,positive
1080,1;2;3;3;6,11/15,2/5,11/6,positive,14/45,121/70,positive,1,11/15,positive
1081,1;2;3;4;5,2/3,2/5,5/3,positive,2/9,2,positive,2/3,1,positive
1082,1;2;3;5;4,3/5,2/5,3/2,positive,2/9,81/50,positive,2/3,9/10,positive
1083,1;2;3;6;3,8/15,2/5,4/3,positive,14/45,32/35,positive,1,8/15,positive
1084,1;2;3;7;2,7/15,8/15,7/8,positive,22/45,49/110,positive,4/3,7/20,positive
1085,1;2;3;8;1,2/5,2/3,3/5,positive,34/45,18/85,positive,5/3,6/25,negative
1086,1;2;3;9;0,1/3,4/5,5/12,positive,10/9,1/10,positive,2,1/6,negative
1087,1;2;4;0;8,4/5,4/5,1,positive,8/9,18/25,positive,5/3,12/25,positive
1088,1;2;4;1;7,11/15,2/3,11/10,positive,26/45,121/130,positive,4/3,11/20,positive
1089,1;2;4;2;6,2/3,8/15,5/4,positive,16/45,5/4,positive,1,2/3,positive
1090,1;2;4;3;5,3/5,2/5,3/2,positive,2/9,81/50,positive,2/3,9/10,positive
1091,1;2;4;4;4,8/15,2/5,4/3,positive,8/45,8/5,positive,2/3,4/5,positive
1092,1;2;4;5;3,7/15,2/5,7/6,positive,2/9,49/50,positive,2/3,7/10,positive
1093,1;2;4;6;2,2/5,8/15,3/4,positive,16/45,9/20,positive,1,2/5,positive
1094,1;2;4;7;1,1/3,2/3,1/2,positive,26/45,5/26,positive,4/3,1/4,zero
1095,1;2;4;8;0,4/15,4/5,1/3,positive,8/9,2/25,positive,5/3,4/25,negative
1096,1;2;5;0;7,2/3,4/5,5/6,positive,34/45,10/17,positive,4/3,1/2,positive
1097,1;2;5;1;6,3/5,2/3,9/10,positive,22/45,81/110,positive,1,3/5,positive
1098,1;2;5;2;5,8/15,8/15,1,positive,14/45,32/35,positive,2/3,4/5,positive
1099,1;2;5;3;4,7/15,2/5,7/6,positive,2/9,49/50,positive,2/3,7/10,positive
1100,1;2;5;4;3,2/5,2/5,1,positive,2/9,18/25,positive,2/3,3/5,positive
1101,1;2;5;5;2,1/3,8/15,5/8,positive,14/45,5/14,positive,2/3,1/2,positive
1102,1;2;5;6;1,4/15,2/3,2/5,positive,22/45,8/55,positive,1,4/15,positive
1103,1;2;5;7;0,1/5,4/5,1/4,zero,34/45,9/170,negative,4/3,3/20,negative
1104,1;2;6;0;6,8/15,4/5,2/3,positive,32/45,2/5,positive,1,8/15,positive
1105,1;2;6;1;5,7/15,2/3,7/10,positive,22/45,49/110,positive,1,7/15,positive
1106,1;2;6;2;4,2/5,8/15,3/4,positive,16/45,9/20,positive,1,2/5,positive
1107,1;2;6;3;3,1/3,2/5,5/6,positive,14/45,5/14,positive,1,1/3,positive
1108,1;2;6;4;2,4/15,8/15,1/2,positive,16/45,1/5,positive,1,4/15,positive
1109,1;2;6;5;1,1/5,2/3,3/10,positive,22/45,9/110,positive,1,1/5,negative
1110,1;2;6;6;0,2/15,4/5,1/6,negative,32/45,1/40,negative,1,2/15,negative
1111,1;2;7;0;5,2/5,4/5,1/2,positive,34/45,18/85,positive,4/3,3/10,positive
1112,1;2;7;1;4,1/3,2/3,1/2,positive,26/45,5/26,positive,4/3,1/4,zero
1113,1;2;7;2;3,4/15,8/15,1/2,positive,22/45,8/55,positive,4/3,1/5,negative
1114,1;2;7;3;2,1/5,8/15,3/8,positive,22/45,9/110,positive,4/3,3/20,negative
1115,1;2;7;4;1,2/15,2/3,1/5,negative,26/45,2/65,negative,4/3,1/10,negative
1116,1;2;7;5;0,1/15,4/5,1/12,negative,34/45,1/170,negative,4/3,1/20,negative
1117,1;2;8;0;4,4/15,4/5,1/3,positive,8/9,2/25,positive,5/3,4/25,negative
1118,1;2;8;1;3,1/5,2/3,3/10,positive,34/45,9/170,negative,5/3,3/25,negative
1119,1;2;8;2;2,2/15,2/3,1/5,negative,32/45,1/40,negative,5/3,2/25,negative
1120,1;2;8;3;1,1/15,2/3,1/10,negative,34/45,1/170,negative,5/3,1/25,negative
1122,1;2;9;0;3,2/15,4/5,1/6,negative,10/9,2/125,negative,2,1/15,negative
1123,1;2;9;1;2,1/15,4/5,1/12,negative,46/45,1/230,negative,2,1/30,negative
1132,1;3;0;0;11,17/15,16/15,17/16,positive,86/45,289/430,positive,8/3,17/40,positive
1133,1;3;0;1;10,16/15,14/15,8/7,positive,22/15,128/165,positive,7/3,16/35,positive
1134,1;3;0;2;9,1,4/5,5/4,positive,10/9,9/10,positive,2,1/2,positive
1135,1;3;0;3;8,14/15,2/3,7/5,positive,38/45,98/95,positive,5/3,14/25,positive
1136,1;3;0;4;7,13/15,2/3,13/10,positive,2/3,169/150,positive,4/3,13/20,positive
1137,1;3;0;5;6,4/5,2/3,6/5,positive,26/45,72/65,positive,1,4/5,positive
1138,1;3;0;6;5,11/15,2/3,11/10,positive,26/45,121/130,positive,1,11/15,positive
1139,1;3;0;7;4,2/3,2/3,1,positive,2/3,2/3,positive,4/3,1/2,positive
1140,1;3;0;8;3,3/5,2/3,9/10,positive,38/45,81/190,positive,5/3,9/25,positive
1141,1;3;0;9;2,8/15,4/5,2/3,positive,10/9,32/125,positive,2,4/15,positive
1142,1;3;0;10;1,7/15,14/15,1/2,positive,22/15,49/330,positive,7/3,1/5,negative
1143,1;3;0;11;0,2/5,16/15,3/8,positive,86/45,18/215,positive,8/3,3/20,negative
1144,1;3;1;0;10,1,14/15,15/14,positive,22/15,15/22,positive,7/3,3/7,positive
1145,1;3;1;1;9,14/15,4/5,7/6,positive,16/15,49/60,positive,2,7/15,positive
1146,1;3;1;2;8,13/15,2/3,13/10,positive,34/45,169/170,positive,5/3,13/25,positive
1147,1;3;1;3;7,4/5,8/15,3/2,positive,8/15,6/5,positive,4/3,3/5,positive
1148,1;3;1;4;6,11/15,8/15,11/8,positive,2/5,121/90,positive,1,11/15,positive
1149,1;3;1;5;5,2/3,8/15,5/4,positive,16/45,5/4,positive,2/3,1,positive
1150,1;3;1;6;4,3/5,8/15,9/8,positive,2/5,9/10,positive,1,3/5,positive
1151,1;3;1;7;3,8/15,8/15,1,positive,8/15,8/15,positive,4/3,2/5,positive
1152,1;3;1;8;2,7/15,2/3,7/10,positive,34/45,49/170,positive,5/3,7/25,positive
1153,1;3;1;9;1,2/5,4/5,1/2,positive,16/15,3/20,positive,2,1/5,negative
1154,1;3;1;10;0,1/3,14/15,5/14,positive,22/15,5/66,positive,7/3,1/7,negative
1155,1;3;2;0;9,13/15,4/5,13/12,positive,10/9,169/250,positive,2,13/30,positive
1156,1;3;2;1;8,4/5,2/3,6/5,positive,34/45,72/85,positive,5/3,12/25,positive
1157,1;3;2;2;7,11/15,8/15,11/8,positive,22/45,11/10,positive,4/3,11/20,positive
1158,1;3;2;3;6,2/3,2/5,5/3,positive,14/45,10/7,positive,1,2/3,positive
1159,1;3;2;4;5,3/5,2/5,3/2,positive,2/9,81/50,positive,2/3,9/10,positive
1160,1;3;2;5;4,8/15,2/5,4/3,positive,2/9,32/25,positive,2/3,4/5,positive
1161,1;3;2;6;3,7/15,2/5,7/6,positive,14/45,7/10,positive,1,7/15,positive
1162,1;3;2;7;2,2/5,8/15,3/4,positive,22/45,18/55,positive,4/3,3/10,positive
1163,1;3;2;8;1,1/3,2/3,1/2,positive,34/45,5/34,positive,5/3,1/5,negative
1164,1;3;2;9;0,4/15,4/5,1/3,positive,10/9,8/125,positive,2,2/15,negative
1165,1;3;3;0;8,11/15,2/3,11/10,positive,38/45,121/190,positive,5/3,11/25,positive
1166,1;3;3;1;7,2/3,8/15,5/4,positive,8/15,5/6,positive,4/3,1/2,positive
1167,1;3;3;2;6,3/5,2/5,3/2,positive,14/45,81/70,positive,1,3/5,positive
1168,1;3;3;3;5,8/15,4/15,2,positive,8/45,8/5,positive,2/3,4/5,positive
1169,1;3;3;4;4,7/15,4/15,7/4,positive,2/15,49/30,positive,2/3,7/10,positive
1170,1;3;3;5;3,2/5,4/15,3/2,positive,8/45,9/10,positive,2/3,3/5,positive
1171,1;3;3;6;2,1/3,2/5,5/6,positive,14/45,5/14,positive,1,1/3,positive
1172,1;3;3;7;1,4/15,8/15,1/2,positive,8/15,2/15,positive,4/3,1/5,negative
1173,1;3;3;8;0,1/5,2/3,3/10,positive,38/45,9/190,negative,5/3,3/25,negative
1174,1;3;4;0;7,3/5,2/3,9/10,positive,2/3,27/50,positive,4/3,9/20,positive
1175,1;3;4;1;6,8/15,8/15,1,positive,2/5,32/45,positive,1,8/15,positive
1176,1;3;4;2;5,7/15,2/5,7/6,positive,2/9,49/50,positive,2/3,7/10,positive
1177,1;3;4;3;4,2/5,4/15,3/2,positive,2/15,6/5,positive,2/3,3/5,positive
1178,1;3;4;4;3,1/3,4/15,5/4,positive,2/15,5/6,positive,2/3,1/2,positive
1179,1;3;4;5;2,4/15,2/5,2/3,positive,2/9,8/25,positive,2/3,2/5,positive
1180,1;3;4;6;1,1/5,8/15,3/8,positive,2/5,1/10,positive,1,1/5,negative
1181,1;3;4;7;0,2/15,2/3,1/5,negative,2/3,2/75,negative,4/3,1/10,negative
1182,1;3;5;0;6,7/15,2/3,7/10,positive,26/45,49/130,positive,1,7/15,positive
1183,1;3;5;1;5,2/5,8/15,3/4,positive,16/45,9/20,positive,2/3,3/5,positive
1184,1;3;5;2;4,1/3,2/5,5/6,positive,2/9,1/2,positive,2/3,1/2,positive
1185,1;3;5;3;3,4/15,4/15,1,positive,8/45,2/5,positive,2/3,2/5,positive
1186,1;3;5;4;2,1/5,2/5,1/2,positive,2/9,9/50,positive,2/3,3/10,positive
1187,1;3;5;5;1,2/15,8/15,1/4,zero,16/45,1/20,negative,2/3,1/5,negative
1188,1;3;5;6;0,1/15,2/3,1/10,negative,26/45,1/130,negative,1,1/15,negative
1189,1;3;6;0;5,1/3,2/3,1/2,positive,26/45,5/26,positive,1,1/3,positive
1190,1;3;6;1;4,4/15,8/15,1/2,positive,2/5,8/45,positive,1,4/15,positive
1191,1;3;6;2;3,1/5,2/5,1/2,positive,14/45,9/70,positive,1,1/5,negative
1192,1;3;6;3;2,2/15,2/5,1/3,positive,14/45,2/35,negative,1,2/15,negative
1193,1;3;6;4;1,1/15,8/15,1/8,negative,2/5,1/90,negative,1,1/15,negative
1195,1;3;7;0;4,1/5,2/3,3/10,positive,2/3,3/50,negative,4/3,3/20,negative
1196,1;3;7;1;3,2/15,8/15,1/4,zero,8/15,1/30,negative,4/3,1/10,negative
1197,1;3;7;2;2,1/15,8/15,1/8,negative,22/45,1/110,negative,4/3,1/20,negative
1200,1;3;8;0;3,1/15,2/3,1/10,negative,38/45,1/190,negative,5/3,1/25,negative
1210,1;4;0;0;10,14/15,16/15,7/8,positive,8/5,49/90,positive,7/3,2/5,positive
1211,1;4;0;1;9,13/15,14/15,13/14,positive,6/5,169/270,positive,2,13/30,positive
1212,1;4;0;2;8,4/5,4/5,1,positive,8/9,18/25,positive,5/3,12/25,positive
1213,1;4;0;3;7,11/15,2/3,11/10,positive,2/3,121/150,positive,4/3,11/20,positive
1214,1;4;0;4;6,2/3,2/3,1,positive,8/15,5/6,positive,1,2/3,positive
1215,1;4;0;5;5,3/5,2/3,9/10,positive,22/45,81/110,positive,1,3/5,positive
1216,1;4;0;6;4,8/15,2/3,4/5,positive,8/15,8/15,positive,1,8/15,positive
1217,1;4;0;7;3,7/15,2/3,7/10,positive,2/3,49/150,positive,4/3,7/20,positive
1218,1;4;0;8;2,2/5,4/5,1/2,positive,8/9,9/50,positive,5/3,6/25,negative
1219,1;4;0;9;1,1/3,14/15,5/14,positive,6/5,5/54,positive,2,1/6,negative
1220,1;4;0;10;0,4/15,16/15,1/4,zero,8/5,2/45,negative,7/3,4/35,negative
1221,1;4;1;0;9,4/5,14/15,6/7,positive,6/5,8/15,positive,2,2/5,positive
1222,1;4;1;1;8,11/15,4/5,11/12,positive,38/45,121/190,positive,5/3,11/25,positive
1223,1;4;1;2;7,2/3,2/3,1,positive,26/45,10/13,positive,4/3,1/2,positive
1224,1;4;1;3;6,3/5,8/15,9/8,positive,2/5,9/10,positive,1,3/5,positive
1225,1;4;1;4;5,8/15,8/15,1,positive,14/45,32/35,positive,2/3,4/5,positive
1226,1;4;1;5;4,7/15,8/15,7/8,positive,14/45,7/10,positive,2/3,7/10,positive
1227,1;4;1;6;3,2/5,8/15,3/4,positive,2/5,2/5,positive,1,2/5,positive
1228,1;4;1;7;2,1/3,2/3,1/2,positive,26/45,5/26,positive,4/3,1/4,zero
1229,1;4;1;8;1,4/15,4/5,1/3,positive,38/45,8/95,positive,5/3,4/25,negative
1230,1;4;1;9;0,1/5,14/15,3/14,negative,6/5,1/30,negative,2,1/10,negative
1231,1;4;2;0;8,2/3,4/5,5/6,positive,8/9,1/2,positive,5/3,2/5,positive
1232,1;4;2;1;7,3/5,2/3,9/10,positive,26/45,81/130,positive,4/3,9/20,positive
1233,1;4;2;2;6,8/15,8/15,1,positive,16/45,4/5,positive,1,8/15,positive
1234,1;4;2;3;5,7/15,2/5,7/6,positive,2/9,49/50,positive,2/3,7/10,positive
1235,1;4;2;4;4,2/5,2/5,1,positive,8/45,9/10,positive,2/3,3/5,positive
1236,1;4;2;5;3,1/3,2/5,5/6,positive,2/9,1/2,positive,2/3,1/2,positive
1237,1;4;2;6;2,4/15,8/15,1/2,positive,16/45,1/5,positive,1,4/15,positive
1238,1;4;2;7;1,1/5,2/3,3/10,positive,26/45,9/130,positive,4/3,3/20,negative
1239,1;4;2;8;0,2/15,4/5,1/6,negative,8/9,1/50,negative,5/3,2/25,negative
1240,1;4;3;0;7,8/15,2/3,4/5,positive,2/3,32/75,positive,4/3,2/5,positive
1241,1;4;3;1;6,7/15,8/15,7/8,positive,2/5,49/90,positive,1,7/15,positive
1242,1;4;3;2;5,2/5,2/5,1,positive,2/9,18/25,positive,2/3,3/5,positive
1243,1;4;3;3;4,1/3,4/15,5/4,positive,2/15,5/6,positive,2/3,1/2,positive
1244,1;4;3;4;3,4/15,4/15,1,positive,2/15,8/15,positive,2/3,2/5,positive
1245,1;4;3;5;2,1/5,2/5,1/2,positive,2/9,9/50,positive,2/3,3/10,positive
1246,1;4;3;6;1,2/15,8/15,1/4,zero,2/5,2/45,negative,1,2/15,negative
1247,1;4;3;7;0,1/15,2/3,1/10,negative,2/3,1/150,negative,4/3,1/20,negative
1248,1;4;4;0;6,2/5,2/3,3/5,positive,8/15,3/10,positive,1,2/5,positive
1249,1;4;4;1;5,1/3,8/15,5/8,positive,14/45,5/14,positive,2/3,1/2,positive
1250,1;4;4;2;4,4/15,2/5,2/3,positive,8/45,2/5,positive,2/3,2/5,positive
1251,1;4;4;3;3,1/5,4/15,3/4,positive,2/15,3/10,positive,2/3,3/10,positive
1252,1;4;4;4;2,2/15,2/5,1/3,positive,8/45,1/10,positive,2/3,1/5,negative
1253,1;4;4;5;1,1/15,8/15,1/8,negative,14/45,1/70,negative,2/3,1/10,negative
1255,1;4;5;0;5,4/15,2/3,2/5,positive,22/45,8/55,positive,1,4/15,positive
1256,1;4;5;1;4,1/5,8/15,3/8,positive,14/45,9/70,positive,2/3,3/10,positive
1257,1;4;5;2;3,2/15,2/5,1/3,positive,2/9,2/25,positive,2/3,1/5,negative
1258,1;4;5;3;2,1/15,2/5,1/6,negative,2/9,1/50,negative,2/3,1/10,negative
1261,1;4;6;0;4,2/15,2/3,1/5,negative,8/15,1/30,negative,1,2/15,negative
1262,1;4;6;1;3,1/15,8/15,1/8,negative,2/5,1/90,negative,1,1/15,negative
1276,1;5;0;0;9,11/15,16/15,11/16,positive,62/45,121/310,positive,2,11/30,positive
1277,1;5;0;1;8,2/3,14/15,5/7,positive,46/45,10/23,positive,5/3,2/5,positive
1278,1;5;0;2;7,3/5,4/5,3/4,positive,34/45,81/170,positive,4/3,9/20,positive
1279,1;5;0;3;6,8/15,2/3,4/5,positive,26/45,32/65,positive,1,8/15,positive
1280,1;5;0;4;5,7/15,2/3,7/10,positive,22/45,49/110,positive,1,7/15,positive
1281,1;5;0;5;4,2/5,2/3,3/5,positive,22/45,18/55,positive,1,2/5,positive
1282,1;5;0;6;3,1/3,2/3,1/2,positive,26/45,5/26,positive,1,1/3,positive
1283,1;5;0;7;2,4/15,4/5,1/3,positive,34/45,8/85,positive,4/3,1/5,negative
1284,1;5;0;8;1,1/5,14/15,3/14,negative,46/45,9/230,negative,5/3,3/25,negative
1285,1;5;0;9;0,2/15,16/15,1/8,negative,62/45,2/155,negative,2,1/15,negative
1286,1;5;1;0;8,3/5,14/15,9/14,positive,46/45,81/230,positive,5/3,9/25,positive
1287,1;5;1;1;7,8/15,4/5,2/3,positive,32/45,2/5,positive,4/3,2/5,positive
1288,1;5;1;2;6,7/15,2/3,7/10,positive,22/45,49/110,positive,1,7/15,positive
1289,1;5;1;3;5,2/5,8/15,3/4,positive,16/45,9/20,positive,2/3,3/5,positive
1290,1;5;1;4;4,1/3,8/15,5/8,positive,14/45,5/14,positive,2/3,1/2,positive
1291,1;5;1;5;3,4/15,8/15,1/2,positive,16/45,1/5,positive,2/3,2/5,positive
1292,1;5;1;6;2,1/5,2/3,3/10,positive,22/45,9/110,positive,1,1/5,negative
1293,1;5;1;7;1,2/15,4/5,1/6,negative,32/45,1/40,negative,4/3,1/10,negative
1294,1;5;1;8;0,1/15,14/15,1/14,negative,46/45,1/230,negative,5/3,1/25,negative
1295,1;5;2;0;7,7/15,4/5,7/12,positive,34/45,49/170,positive,4/3,7/20,positive
1296,1;5;2;1;6,2/5,2/3,3/5,positive,22/45,18/55,positive,1,2/5,positive
1297,1;5;2;2;5,1/3,8/15,5/8,positive,14/45,5/14,positive,2/3,1/2,positive
1298,1;5;2;3;4,4/15,2/5,2/3,positive,2/9,8/25,positive,2/3,2/5,positive
1299,1;5;2;4;3,1/5,2/5,1/2,positive,2/9,9/50,positive,2/3,3/10,positive
1300,1;5;2;5;2,2/15,8/15,1/4,zero,14/45,2/35,negative,2/3,1/5,negative
1301,1;5;2;6;1,1/15,2/3,1/10,negative,22/45,1/110,negative,1,1/15,negative
1303,1;5;3;0;6,1/3,2/3,1/2,positive,26/45,5/26,positive,1,1/3,positive
1304,1;5;3;1;5,4/15,8/15,1/2,positive,16/45,1/5,positive,2/3,2/5,positive
1305,1;5;3;2;4,1/5,2/5,1/2,positive,2/9,9/50,positive,2/3,3/10,positive
1306,1;5;3;3;3,2/15,4/15,1/2,positive,8/45,1/10,positive,2/3,1/5,negative
1307,1;5;3;4;2,1/15,2/5,1/6,negative,2/9,1/50,negative,2/3,1/10,negative
1310,1;5;4;0;5,1/5,2/3,3/10,positive,22/45,9/110,positive,1,1/5,negative
1311,1;5;4;1;4,2/15,8/15,1/4,zero,14/45,2/35,negative,2/3,1/5,negative
1312,1;5;4;2;3,1/15,2/5,1/6,negative,2/9,1/50,negative,2/3,1/10,negative
1316,1;5;5;0;4,1/15,2/3,1/10,negative,22/45,1/110,negative,1,1/15,negative
1331,1;6;0;0;8,8/15,16/15,1/2,positive,56/45,8/35,positive,5/3,8/25,positive
1332,1;6;0;1;7,7/15,14/15,1/2,positive,14/15,7/30,positive,4/3,7/20,positive
1333,1;6;0;2;6,2/5,4/5,1/2,positive,32/45,9/40,positive,1,2/5,positive
1334,1;6;0;3;5,1/3,2/3,1/2,positive,26/45,5/26,positive,1,1/3,positive
1335,1;6;0;4;4,4/15,2/3,2/5,positive,8/15,2/15,positive,1,4/15,positive
1336,1;6;0;5;3,1/5,2/3,3/10,positive,26/45,9/130,positive,1,1/5,negative
1337,1;6;0;6;2,2/15,4/5,1/6,negative,32/45,1/40,negative,1,2/15,negative
1338,1;6;0;7;1,1/15,14/15,1/14,negative,14/15,1/210,negative,4/3,1/20,negative
1340,1;6;1;0;7,2/5,14/15,3/7,positive,14/15,6/35,positive,4/3,3/10,positive
1341,1;6;1;1;6,1/3,4/5,5/12,positive,2/3,1/6,positive,1,1/3,positive
1342,1;6;1;2;5,4/15,2/3,2/5,positive,22/45,8/55,positive,1,4/15,positive
1343,1;6;1;3;4,1/5,8/15,3/8,positive,2/5,1/10,positive,1,1/5,negative
1344,1;6;1;4;3,2/15,8/15,1/4,zero,2/5,2/45,negative,1,2/15,negative
1345,1;6;1;5;2,1/15,2/3,1/10,negative,22/45,1/110,negative,1,1/15,negative
1348,1;6;2;0;6,4/15,4/5,1/3,positive,32/45,1/10,positive,1,4/15,positive
1349,1;6;2;1;5,1/5,2/3,3/10,positive,22/45,9/110,positive,1,1/5,negative
1350,1;6;2;2;4,2/15,8/15,1/4,zero,16/45,1/20,negative,1,2/15,negative
1351,1;6;2;3;3,1/15,2/5,1/6,negative,14/45,1/70,negative,1,1/15,negative
1355,1;6;3;0;5,2/15,2/3,1/5,negative,26/45,2/65,negative,1,2/15,negative
1356,1;6;3;1;4,1/15,8/15,1/8,negative,2/5,1/90,negative,1,1/15,negative
1376,1;7;0;0;7,1/3,16/15,5/16,positive,6/5,5/54,positive,4/3,1/4,zero
1377,1;7;0;1;6,4/15,14/15,2/7,positive,14/15,8/105,positive,4/3,1/5,negative
1378,1;7;0;2;5,1/5,4/5,1/4,zero,34/45,9/170,negative,4/3,3/20,negative
1379,1;7;0;3;4,2/15,2/3,1/5,negative,2/3,2/75,negative,4/3,1/10,negative
1380,1;7;0;4;3,1/15,2/3,1/10,negative,2/3,1/150,negative,4/3,1/20,negative
1384,1;7;1;0;6,1/5,14/15,3/14,negative,14/15,3/70,negative,4/3,3/20,negative
1385,1;7;1;1;5,2/15,4/5,1/6,negative,32/45,1/40,negative,4/3,1/10,negative
1386,1;7;1;2;4,1/15,2/3,1/10,negative,26/45,1/130,negative,4/3,1/20,negative
1391,1;7;2;0;5,1/15,4/5,1/12,negative,34/45,1/170,negative,4/3,1/20,negative
1412,1;8;0;0;6,2/15,16/15,1/8,negative,56/45,1/70,negative,5/3,2/25,negative
1413,1;8;0;1;5,1/15,14/15,1/14,negative,46/45,1/230,negative,5/3,1/25,negative
1496,2;0;0;0;13,22/15,4/3,11/10,positive,128/45,121/160,positive,10/3,11/25,positive
1497,2;0;0;1;12,7/5,6/5,7/6,positive,104/45,441/520,positive,3,7/15,positive
1498,2;0;0;2;11,4/3,16/15,5/4,positive,28/15,20/21,positive,8/3,1/2,positive
1499,2;0;0;3;10,19/15,14/15,19/14,positive,68/45,361/340,positive,7/3,19/35,positive
1500,2;0;0;4;9,6/5,14/15,9/7,positive,56/45,81/70,positive,2,3/5,positive
1501,2;0;0;5;8,17/15,14/15,17/14,positive,16/15,289/240,positive,5/3,17/25,positive
1502,2;0;0;6;7,16/15,14/15,8/7,positive,44/45,64/55,positive,4/3,4/5,positive
1503,2;0;0;7;6,1,14/15,15/14,positive,44/45,45/44,positive,4/3,3/4,positive
1504,2;0;0;8;5,14/15,14/15,1,positive,16/15,49/60,positive,5/3,14/25,positive
1505,2;0;0;9;4,13/15,14/15,13/14,positive,56/45,169/280,positive,2,13/30,positive
1506,2;0;0;10;3,4/5,14/15,6/7,positive,68/45,36/85,positive,7/3,12/35,positive
1507,2;0;0;11;2,11/15,16/15,11/16,positive,28/15,121/420,positive,8/3,11/40,positive
1508,2;0;0;12;1,2/3,6/5,5/9,positive,104/45,5/26,positive,3,2/9,negative
1509,2;0;0;13;0,3/5,4/3,9/20,positive,128/45,81/640,positive,10/3,9/50,negative
1510,2;0;1;0;12,4/3,6/5,10/9,positive,104/45,10/13,positive,3,4/9,positive
1511,2;0;1;1;11,19/15,16/15,19/16,positive,82/45,361/410,positive,8/3,19/40,positive
1512,2;0;1;2;10,6/5,14/15,9/7,positive,64/45,81/80,positive,7/3,18/35,positive
1513,2;0;1;3;9,17/15,4/5,17/12,positive,10/9,289/250,positive,2,17/30,positive
1514,2;0;1;4;8,16/15,4/5,4/3,positive,8/9,32/25,positive,5/3,16/25,positive
1515,2;0;1;5;7,1,4/5,5/4,positive,34/45,45/34,positive,4/3,3/4,positive
1516,2;0;1;6;6,14/15,4/5,7/6,positive,32/45,49/40,positive,1,14/15,positive
1517,2;0;1;7;5,13/15,4/5,13/12,positive,34/45,169/170,positive,4/3,13/20,positive
1518,2;0;1;8;4,4/5,4/5,1,positive,8/9,18/25,positive,5/3,12/25,positive
